3962	14	3927
3962	14	3963
3962	14	3963
3962	14	3928
3962	14	3928
950	1	148
950	1	159
1875	10	2921
1875	10	2921
1875	17	6213
1875	11	3095
1875	10	2958
1875	4	1833
1875	4	1829
1875	10	2920
250	1	241
250	1	148
1951	5	1952
1951	5	1953
3603	14	3604
3603	14	3606
3603	14	3605
3603	14	3473
3603	14	3437
8812	17	8813
8812	17	6190
4301	17	6048
4301	14	4070
2980	10	2983
2980	17	6516
2980	23	2952
2980	17	6513
2980	10	2981
2980	17	6514
2980	17	6515
2980	14	3883
2980	17	6512
2980	10	2935
2980	10	2982
8081	20	8090
8081	17	8090
8081	17	8082
8081	20	8082
8081	17	8093
8081	20	8083
8081	17	8083
8081	20	7887
8081	17	7887
8081	20	6744
8081	17	8088
8081	20	8088
8081	20	8495
8081	17	5729
8081	20	5729
8081	20	8001
8081	17	8092
8081	20	8092
8081	17	7925
8081	20	7925
8081	20	9330
8081	20	5645
8081	17	8087
8081	20	8087
8081	20	5773
8081	20	5453
8081	17	7960
8081	20	7960
8081	20	5849
8081	17	8086
8081	20	8086
8081	20	7926
8081	20	9331
8081	20	5848
8081	20	5639
8081	20	8444
8081	20	9243
8081	20	6162
8081	20	8328
8081	20	6159
8081	20	8095
6884	17	7815
6884	17	5996
6884	17	5996
6884	17	6190
6884	17	6741
6884	17	5995
6884	17	5976
6884	17	6171
6884	17	5994
6884	17	5997
509	1	511
509	6	28
509	6	510
509	6	510
509	1	510
509	6	29
509	6	29
509	17	6052
509	15	4977
509	6	332
509	6	32
509	6	30
509	6	2029
8847	17	8848
8847	20	8848
4915	14	4917
4915	14	4917
4915	14	4916
4915	14	4399
5074	15	4973
5074	15	4971
5989	17	5990
5989	22	11183
5989	22	10540
5740	16	5750
5740	16	5750
5740	16	5748
5740	16	5748
5740	16	5743
5740	16	5743
5740	16	5749
5740	16	5749
5740	16	5742
5740	16	5742
5740	16	5745
5740	16	5745
5740	16	5745
5740	16	5747
5740	16	5747
4195	17	6745
4195	23	12538
883	1	884
883	1	885
884	9	2601
884	15	4969
884	9	2495
884	9	2490
973	1	453
973	1	454
2875	9	2505
2875	17	7192
3225	23	2938
3225	20	6706
3225	20	6706
3225	20	6706
3225	20	6706
3225	20	6706
3225	20	6706
3225	17	6706
3225	20	6706
3225	17	6603
3225	12	2155
3225	17	7233
3225	17	6930
3225	23	2989
3225	20	6780
3225	20	6780
11265	22	9708
11265	22	11266
3230	12	117
3230	12	116
4068	14	3496
4068	14	3495
5411	16	5516
5411	16	5516
5411	16	5521
5411	16	5521
5411	16	5529
5411	16	5529
5411	16	5510
5411	16	5510
5411	16	5544
5411	16	5544
5411	16	5523
5411	16	5523
5411	16	5533
5411	16	5533
5411	16	5536
5411	16	5536
5411	16	5522
5411	16	5528
5411	16	5412
5411	16	5412
5411	16	5507
5411	16	5507
5411	16	5526
5411	16	5526
5411	16	5540
5411	16	5534
5411	16	5534
5411	16	5513
5411	16	5513
5411	16	5513
5411	16	5539
5411	16	5515
5411	16	5515
5411	16	5514
5411	16	5514
5411	16	5511
5411	16	5511
5411	16	5511
5411	16	5542
5411	16	5509
5411	16	5509
5411	16	5519
5411	16	5530
5411	16	5530
5411	16	5525
5411	16	5524
5411	16	5547
5411	16	5537
5411	16	5537
5411	16	5517
5411	16	5517
5411	16	5517
5411	16	5527
5411	16	5527
5411	16	5543
5411	16	5518
5411	16	5545
5411	16	5541
1695	2	1671
1695	2	1672
5352	15	4973
5352	15	4971
3145	11	3146
3145	14	4298
3145	14	4298
4576	14	3481
4576	14	3481
4576	14	3707
